Cód.,Unidade da Federação e Município,Forma de declaração da idade,Menos de 1 ano,3 anos,4 anos,6 anos,7 anos,15 anos,16 anos,17 anos,18 anos,24 anos,25 anos,34 anos,40 anos,44 anos,45 anos,49 anos,50 anos,54 anos,55 anos,59 anos,60 anos,64 anos,70 anos,71 anos,72 anos,73 anos,74 anos,75 anos,76 anos,77 anos,78 anos,79 anos,80 anos,81 anos,82 anos,83 anos,84 anos,85 anos,86 anos,87 anos,88 anos,89 anos,90 anos,91 anos,92 anos,93 anos,94 anos,95 anos,96 anos,97 anos,98 anos,99 anos,100 anos ou mais
1501576,Bom Jesus do Tocantins (PA),Total,264,284,266,265,300,274,274,290,275,302,320,254,296,196,211,190,163,152,153,269,247,108,86,62,59,76,49,55,35,40,35,37,23,24,23,18,19,21,21,10,13,6,9,9,9,7,2,2,4,5,2,-,6
1501600,Bonito (PA),Total,193,204,172,195,195,208,226,276,220,177,222,214,220,176,143,134,143,123,128,102,92,95,60,50,49,44,36,36,35,36,40,24,18,18,26,17,16,12,13,10,15,8,3,5,3,3,6,3,-,2,6,2,3
1501709,Bragança (PA),Total,1803,1954,1907,1960,2151,2420,2389,2341,2338,1937,2072,1870,2169,1537,1540,1382,1412,1085,1169,889,954,806,589,451,491,453,427,399,346,339,355,254,246,184,229,169,140,127,132,119,76,77,64,52,50,40,24,12,15,12,6,8,28
1501725,Brasil Novo (PA),Total,339,401,424,416,446,438,463,484,425,402,413,370,431,306,354,270,279,220,206,209,210,151,99,107,100,65,77,66,60,50,44,54,49,38,48,28,25,22,23,19,14,13,13,2,10,7,5,7,3,4,1,-,1
1501758,Brejo Grande do Araguaia (PA),Total,121,111,96,124,107,137,139,125,122,113,108,89,120,90,94,71,63,80,62,66,60,48,39,38,38,23,21,25,34,21,22,16,21,12,10,10,7,14,8,3,5,5,5,4,3,4,1,2,-,-,-,-,3
1501782,Breu Branco (PA),Total,757,813,837,848,879,982,883,931,815,774,771,657,674,534,559,458,467,430,415,355,312,315,206,185,185,139,139,131,133,93,117,83,87,75,76,58,43,51,42,25,12,13,27,16,19,9,4,4,7,4,5,2,10
1501808,Breves (PA),Total,2453,2483,2460,2297,2317,2372,2333,2344,2331,1917,1997,1460,1401,1054,1044,835,910,644,639,533,550,450,365,300,368,224,234,215,206,177,186,165,154,121,147,87,84,74,69,71,53,49,39,33,43,18,14,15,14,24,14,11,65
1501907,Bujaru (PA),Total,387,454,455,449,417,511,525,493,499,376,407,302,389,283,287,274,247,203,225,145,185,129,102,95,94,80,61,97,65,60,67,63,58,46,51,32,39,28,36,20,17,15,17,7,8,7,4,4,6,2,2,4,5
1501956,Cachoeira do Piriá (PA),Total,376,358,365,372,353,460,431,439,457,314,315,275,326,202,199,192,175,183,164,132,123,100,75,59,55,61,40,51,42,36,36,18,21,22,19,20,18,11,7,6,4,3,6,2,8,2,3,2,-,3,1,1,-
1502004,Cachoeira do Arari (PA),Total,343,409,448,481,455,473,433,428,425,435,379,363,358,268,288,215,266,202,188,173,186,124,100,70,99,57,63,75,56,68,56,57,55,39,45,28,25,26,16,14,16,25,10,11,9,11,6,4,-,2,-,4,14
1502103,Cametá (PA),Total,2309,2346,2260,2241,2272,2860,2793,2659,2662,2488,2640,2045,2081,1514,1561,1312,1289,1064,1009,793,882,672,582,485,482,455,369,459,337,354,363,254,263,210,232,193,176,169,166,107,79,80,60,56,41,20,34,20,26,27,21,9,50
1502152,Canaã dos Carajás (PA),Total,1390,1448,1451,1516,1444,1313,1320,1328,1290,1424,1493,1569,1495,982,951,675,693,517,470,362,381,263,165,118,132,99,117,108,101,91,85,70,65,53,49,26,38,29,19,17,13,10,16,8,3,7,1,2,-,4,-,1,3
1502202,Capanema (PA),Total,880,923,992,1010,1049,1108,1123,1191,1213,1130,1206,1157,1284,1001,985,907,844,714,721,624,614,495,373,338,320,240,262,246,239,191,196,188,161,121,163,126,95,102,100,83,66,45,48,32,39,25,21,21,5,7,4,3,15
1502301,Capitão Poço (PA),Total,756,902,888,863,828,1027,982,1067,1051,928,1015,954,971,707,722,623,649,511,625,443,440,354,284,214,245,179,192,173,159,137,127,121,134,83,87,84,76,70,62,28,44,20,26,19,21,22,9,11,5,6,3,1,8
