Codigo,Municipio,Idade,Total
1501451,Belterra (PA),44 anos,150
1501451,Belterra (PA),45 anos,147
1501451,Belterra (PA),49 anos,142
1501451,Belterra (PA),50 anos,145
1501451,Belterra (PA),54 anos,120
1501451,Belterra (PA),55 anos,149
1501451,Belterra (PA),59 anos,97
1501451,Belterra (PA),60 anos,99
1501451,Belterra (PA),64 anos,81
1501451,Belterra (PA),70 anos ou mais,701
1501501,Benevides (PA),Total,51651
1501501,Benevides (PA),Menos de 1 ano,890
1501501,Benevides (PA),3 anos,906
1501501,Benevides (PA),4 anos,970
1501501,Benevides (PA),6 anos,988
1501501,Benevides (PA),7 anos,1110
1501501,Benevides (PA),15 anos,1113
1501501,Benevides (PA),16 anos,1084
1501501,Benevides (PA),17 anos,1087
1501501,Benevides (PA),18 anos,1045
1501501,Benevides (PA),24 anos,1004
1501501,Benevides (PA),25 anos,1026
1501501,Benevides (PA),34 anos,842
1501501,Benevides (PA),40 anos,764
1501501,Benevides (PA),44 anos,559
1501501,Benevides (PA),45 anos,553
1501501,Benevides (PA),49 anos,485
1501501,Benevides (PA),50 anos,527
1501501,Benevides (PA),54 anos,358
1501501,Benevides (PA),55 anos,362
1501501,Benevides (PA),59 anos,295
1501501,Benevides (PA),60 anos,275
1501501,Benevides (PA),64 anos,195
1501501,Benevides (PA),70 anos ou mais,1455
1501576,Bom Jesus do Tocantins (PA),Total,15298
1501576,Bom Jesus do Tocantins (PA),Menos de 1 ano,256
1501576,Bom Jesus do Tocantins (PA),3 anos,303
1501576,Bom Jesus do Tocantins (PA),4 anos,293
1501576,Bom Jesus do Tocantins (PA),6 anos,302
1501576,Bom Jesus do Tocantins (PA),7 anos,276
1501576,Bom Jesus do Tocantins (PA),15 anos,324
1501576,Bom Jesus do Tocantins (PA),16 anos,305
1501576,Bom Jesus do Tocantins (PA),17 anos,327
1501576,Bom Jesus do Tocantins (PA),18 anos,307
1501576,Bom Jesus do Tocantins (PA),24 anos,310
1501576,Bom Jesus do Tocantins (PA),25 anos,305
1501576,Bom Jesus do Tocantins (PA),34 anos,202
1501576,Bom Jesus do Tocantins (PA),40 anos,215
1501576,Bom Jesus do Tocantins (PA),44 anos,168
1501576,Bom Jesus do Tocantins (PA),45 anos,175
1501576,Bom Jesus do Tocantins (PA),49 anos,162
1501576,Bom Jesus do Tocantins (PA),50 anos,139
1501576,Bom Jesus do Tocantins (PA),54 anos,104
1501576,Bom Jesus do Tocantins (PA),55 anos,140
1501576,Bom Jesus do Tocantins (PA),59 anos,123
1501576,Bom Jesus do Tocantins (PA),60 anos,115
1501576,Bom Jesus do Tocantins (PA),64 anos,71
1501576,Bom Jesus do Tocantins (PA),70 anos ou mais,514
1501600,Bonito (PA),Total,13630
1501600,Bonito (PA),Menos de 1 ano,308
1501600,Bonito (PA),3 anos,278
1501600,Bonito (PA),4 anos,291
1501600,Bonito (PA),6 anos,271
1501600,Bonito (PA),7 anos,338
1501600,Bonito (PA),15 anos,290
1501600,Bonito (PA),16 anos,270
1501600,Bonito (PA),17 anos,293
1501600,Bonito (PA),18 anos,290
1501600,Bonito (PA),24 anos,262
1501600,Bonito (PA),25 anos,329
1501600,Bonito (PA),34 anos,203
1501600,Bonito (PA),40 anos,172
1501600,Bonito (PA),44 anos,140
1501600,Bonito (PA),45 anos,130
1501600,Bonito (PA),49 anos,85
1501600,Bonito (PA),50 anos,112
1501600,Bonito (PA),54 anos,87
1501600,Bonito (PA),55 anos,97
1501600,Bonito (PA),59 anos,64
1501600,Bonito (PA),60 anos,76
1501600,Bonito (PA),64 anos,64
1501600,Bonito (PA),70 anos ou mais,407
1501709,Bragança (PA),Total,113227
1501709,Bragança (PA),Menos de 1 ano,2223
1501709,Bragança (PA),3 anos,2403
1501709,Bragança (PA),4 anos,2424
1501709,Bragança (PA),6 anos,2365
1501709,Bragança (PA),7 anos,2414
1501709,Bragança (PA),15 anos,2615
1501709,Bragança (PA),16 anos,2504
1501709,Bragança (PA),17 anos,2521
1501709,Bragança (PA),18 anos,2512
1501709,Bragança (PA),24 anos,2222
1501709,Bragança (PA),25 anos,2197
1501709,Bragança (PA),34 anos,1564
1501709,Bragança (PA),40 anos,1348
1501709,Bragança (PA),44 anos,1116
1501709,Bragança (PA),45 anos,1059
1501709,Bragança (PA),49 anos,917
1501709,Bragança (PA),50 anos,938
1501709,Bragança (PA),54 anos,805
1501709,Bragança (PA),55 anos,769
1501709,Bragança (PA),59 anos,616
1501709,Bragança (PA),60 anos,639
1501709,Bragança (PA),64 anos,493
1501709,Bragança (PA),70 anos ou mais,3950
1501725,Brasil Novo (PA),Total,15690
1501725,Brasil Novo (PA),Menos de 1 ano,270
1501725,Brasil Novo (PA),3 anos,329
1501725,Brasil Novo (PA),4 anos,321
1501725,Brasil Novo (PA),6 anos,280
1501725,Brasil Novo (PA),7 anos,308
1501725,Brasil Novo (PA),15 anos,369
1501725,Brasil Novo (PA),16 anos,348
1501725,Brasil Novo (PA),17 anos,325
1501725,Brasil Novo (PA),18 anos,315
1501725,Brasil Novo (PA),24 anos,312
1501725,Brasil Novo (PA),25 anos,268
1501725,Brasil Novo (PA),34 anos,243
1501725,Brasil Novo (PA),40 anos,229
1501725,Brasil Novo (PA),44 anos,179
1501725,Brasil Novo (PA),45 anos,215
1501725,Brasil Novo (PA),49 anos,135
1501725,Brasil Novo (PA),50 anos,148
1501725,Brasil Novo (PA),54 anos,112
1501725,Brasil Novo (PA),55 anos,129
1501725,Brasil Novo (PA),59 anos,105
1501725,Brasil Novo (PA),60 anos,96
1501725,Brasil Novo (PA),64 anos,72
1501725,Brasil Novo (PA),70 anos ou mais,542
1501758,Brejo Grande do Araguaia (PA),Total,7317
1501758,Brejo Grande do Araguaia (PA),Menos de 1 ano,147
1501758,Brejo Grande do Araguaia (PA),3 anos,165
1501758,Brejo Grande do Araguaia (PA),4 anos,166
1501758,Brejo Grande do Araguaia (PA),6 anos,144
1501758,Brejo Grande do Araguaia (PA),7 anos,166
1501758,Brejo Grande do Araguaia (PA),15 anos,185
1501758,Brejo Grande do Araguaia (PA),16 anos,189
1501758,Brejo Grande do Araguaia (PA),17 anos,164
1501758,Brejo Grande do Araguaia (PA),18 anos,154
1501758,Brejo Grande do Araguaia (PA),24 anos,133
1501758,Brejo Grande do Araguaia (PA),25 anos,110
1501758,Brejo Grande do Araguaia (PA),34 anos,106
1501758,Brejo Grande do Araguaia (PA),40 anos,83
1501758,Brejo Grande do Araguaia (PA),44 anos,73
1501758,Brejo Grande do Araguaia (PA),45 anos,76
1501758,Brejo Grande do Araguaia (PA),49 anos,61
1501758,Brejo Grande do Araguaia (PA),50 anos,69
1501758,Brejo Grande do Araguaia (PA),54 anos,69
