Codigo,Municipio,RI,Ano_merge,Ano,Rural_Cadunico,Urbano_Cadunico,Rural_IBGE,Urbano_IBGE
150655,SANTA LUZIA DO PARÁ,Rio Caeté,2022,2022.0,8218.0,8917.0,9418.0,10952.0
150658,SANTA MARIA DAS BARREIRAS,Araguaia,2010,2013.0,8251.0,5197.0,10849.0,6357.0
150658,SANTA MARIA DAS BARREIRAS,Araguaia,2022,2022.0,9189.0,5381.0,8368.0,8180.0
150660,SANTA MARIA DO PARÁ,Guamá,2010,2013.0,8120.0,9763.0,9698.0,13328.0
150660,SANTA MARIA DO PARÁ,Guamá,2022,2022.0,7400.0,10263.0,7544.0,17080.0
150670,SANTANA DO ARAGUAIA,Araguaia,2010,2013.0,5045.0,12967.0,26490.0,29663.0
150670,SANTANA DO ARAGUAIA,Araguaia,2022,2022.0,5408.0,18902.0,6594.0,25819.0
150680,SANTARÉM,Baixo Amazonas,2010,2013.0,76273.0,122639.0,78790.0,215790.0
150680,SANTARÉM,Baixo Amazonas,2022,2022.0,73828.0,167743.0,67435.0,264507.0
150690,SANTARÉM NOVO,Rio Caeté,2010,2013.0,4423.0,1534.0,4332.0,1809.0
150690,SANTARÉM NOVO,Rio Caeté,2022,2022.0,4856.0,2194.0,4206.0,1910.0
150700,SANTO ANTÔNIO DO TAUÁ,Guamá,2010,2013.0,9877.0,8368.0,11803.0,14871.0
150700,SANTO ANTÔNIO DO TAUÁ,Guamá,2022,2022.0,11655.0,9617.0,9144.0,18317.0
150710,SÃO CAETANO DE ODIVELAS,Guamá,2010,2013.0,6371.0,6760.0,9933.0,6958.0
150710,SÃO CAETANO DE ODIVELAS,Guamá,2022,2022.0,6644.0,6770.0,7436.0,9230.0
150715,SÃO DOMINGOS DO ARAGUAIA,Carajás,2010,2013.0,4040.0,12237.0,7876.0,15254.0
150715,SÃO DOMINGOS DO ARAGUAIA,Carajás,2022,2022.0,4105.0,12059.0,6202.0,14890.0
150720,SÃO DOMINGOS DO CAPIM,Guamá,2010,2013.0,16203.0,10246.0,23257.0,6589.0
150720,SÃO DOMINGOS DO CAPIM,Guamá,2022,2022.0,17248.0,8837.0,21289.0,9310.0
150730,SÃO FÉLIX DO XINGU,Araguaia,2010,2013.0,11530.0,19751.0,46227.0,45113.0
150730,SÃO FÉLIX DO XINGU,Araguaia,2022,2022.0,15011.0,28875.0,26304.0,39114.0
150740,SÃO FRANCISCO DO PARÁ,Guamá,2010,2013.0,6789.0,5005.0,9947.0,5113.0
150740,SÃO FRANCISCO DO PARÁ,Guamá,2022,2022.0,6901.0,5261.0,7452.0,7442.0
150745,SÃO GERALDO DO ARAGUAIA,Carajás,2010,2013.0,7031.0,11719.0,11997.0,13590.0
150745,SÃO GERALDO DO ARAGUAIA,Carajás,2022,2022.0,5738.0,11249.0,7312.0,16943.0
150746,SÃO JOÃO DA PONTA,Guamá,2010,2013.0,3422.0,1203.0,4234.0,1031.0
150746,SÃO JOÃO DA PONTA,Guamá,2022,2022.0,4208.0,1264.0,3554.0,876.0
150747,SÃO JOÃO DE PIRABAS,Rio Caeté,2010,2013.0,4510.0,11893.0,10160.0,10487.0
150747,SÃO JOÃO DE PIRABAS,Rio Caeté,2022,2022.0,6935.0,9700.0,7559.0,13130.0
150750,SÃO JOÃO DO ARAGUAIA,Carajás,2010,2013.0,4135.0,5079.0,10569.0,2586.0
150750,SÃO JOÃO DO ARAGUAIA,Carajás,2022,2022.0,8719.0,3768.0,8242.0,5422.0
150760,SÃO MIGUEL DO GUAMÁ,Guamá,2010,2013.0,12065.0,24848.0,19683.0,31884.0
150760,SÃO MIGUEL DO GUAMÁ,Guamá,2022,2022.0,13030.0,24313.0,15048.0,37846.0
150770,SÃO SEBASTIÃO DA BOA VISTA,Marajó,2010,2013.0,13054.0,8083.0,13002.0,9902.0
150770,SÃO SEBASTIÃO DA BOA VISTA,Marajó,2022,2022.0,15834.0,9959.0,14383.0,11260.0
150775,SAPUCAIA,Araguaia,2010,2013.0,754.0,2849.0,1722.0,3325.0
150775,SAPUCAIA,Araguaia,2022,2022.0,548.0,2909.0,1083.0,4764.0
150780,SENADOR JOSÉ PORFÍRIO,Xingu,2010,2013.0,3661.0,6551.0,6575.0,6470.0
150780,SENADOR JOSÉ PORFÍRIO,Xingu,2022,2022.0,8622.0,7441.0,13613.0,8963.0
150790,SOURE,Marajó,2010,2013.0,1232.0,14670.0,1986.0,21015.0
150790,SOURE,Marajó,2022,2022.0,1045.0,16951.0,1661.0,22543.0
150795,TAILÂNDIA,Tocantins,2010,2013.0,12744.0,33745.0,20584.0,58713.0
150795,TAILÂNDIA,Tocantins,2022,2022.0,20196.0,32404.0,9622.0,62871.0
150796,TERRA ALTA,Guamá,2010,2013.0,4702.0,3937.0,5928.0,4334.0
150796,TERRA ALTA,Guamá,2022,2022.0,6074.0,4386.0,4492.0,5908.0
150797,TERRA SANTA,Baixo Amazonas,2010,2013.0,1276.0,11337.0,6614.0,10335.0
150797,TERRA SANTA,Baixo Amazonas,2022,2022.0,2344.0,11995.0,2523.0,16259.0
150800,TOMÉ-AÇU,Rio Capim,2010,2013.0,18865.0,28261.0,24955.0,31563.0
150800,TOMÉ-AÇU,Rio Capim,2022,2022.0,23699.0,24891.0,24778.0,42807.0
